Access to formal-informal education services for children from displaced hhs,Location of formal informal education facilities services for children from displaced hhs,Distance to nearest education facility,Children at the site attending school,Sufficient learning,Trained moe teachers in this community,Reason 1,Reason 2,Reason 3,Enough teachers,Females not attending,Males not attending,Are there any people in this community skilled and willing to volunteer for education,If there were any community-led education activities would the children in your community attend,Hh,Ind,Location type,Site accessibility,Site safe area,State,LGA,Ward,Most common type of shelter,Living outside,Living emergency shelter,Living makeshift shelter,Living indoors,Security is provided on-site,Security incidents are reported in the site,Who provides the main security in the site,Most prevalent health problem,Access to health facility,Screening for malnutrition conducted on site muac,Supplementary feeding
Yes,On-site,<5km,51%-75%,Classrooms are crowded,No,Lack of parental/Care givers support,Lack of teachers,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school lack of documentation,Early marriage  lack of documentation,No,No,26,147,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Accommodation by other families,,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Lack of school supplies,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of documentation,Lack of food at home and school they are working,Yes,Yes,145,689,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,Yes,No,Police,Fever,Yes,Yes,Yes
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fees or costs,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation early marriage pregnancy,They are working,Yes,Yes,163,548,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Unpartitioned),,<25%,25%-50%,51%-75%,Yes,Yes,Police,Malaria,Yes,No,No
Yes,Off-site,<5km,25%-50%,Classrooms are crowded,No,Fear of violence,Distance to the school (too far),Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy lack of documentation,Lack of documentation early marriage ,No,No,14,67,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Accommodation by other families,,<25%,25%-50%,25%-50%,No,Yes,,Wound infection,No,No,No
Yes,Off-site,<5km,25%-50%,Classrooms not crowded,No,Fear of violence,Distance to the school (too far),Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy distance to school,Lack of food at home and school they are working,Yes,Yes,172,945,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Unpartitioned),,,<25%,>75%,No,No,,Malaria,Yes,Yes,No
Yes,,<5km,25%-50%,No enough learning space,Yes,Fear of violence,Fees or costs,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of documentation,Fees or costs early marriage ,Yes,Yes,375,2021,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Emergency shelters,,>75%,<25%,<25%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<1km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fear of violence,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation lack of food at home and school,They are working fees or costs,Yes,Yes,769,5913,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Emergency shelters,,>75%,<25%,,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Lack of school supplies,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy lack of documentation,Lack of documentation they are working,Yes,Yes,753,3579,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Emergency shelters,,>75%,<25%,<25%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<1km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fear of violence,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy lack of documentation,They are working lack of food at home and school,Yes,Yes,309,1366,IDPs,Yes,Yes,Borno,Kaga,Benisheikh,Emergency shelters,,>75%,<25%,,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Fear of violence,Fees or costs,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation lack of food at home and school,Early marriage  they are working,Yes,Yes,222,796,Returns,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,25%-50%,25%-50%,25%-50%,No,No,,Diarrhea,Yes,Yes,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Fear of violence,Lack of parental/Care givers support,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of documentation,Fees or costs lack of documentation,Yes,Yes,1380,5058,Returns,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,25%-50%,25%-50%,51%-75%,No,No,,Malaria,Yes,Yes,Yes
Yes,Off-site,<5km,none,No enough learning space,No,Lack of parental/Care givers support,Work at the house,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Other,Other,No,No,191,641,Returns,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,No,Yes,,Skin disease,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Work in the fields,Lack of parental/Care givers support,Fear of violence,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Fees or costs lack of documentation,Fees or costs lack of documentation,Yes,Yes,238,815,Returns,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Unpartitioned),,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,Yes,No
Yes,Off-site,<5km,25%-50%,Classrooms are crowded,No,Fees or costs,Fear of violence,Work in the fields,Largely insufficient number of teachers/Volunteers are available,Distance to school lack of documentation,Lack of documentation distance to school,Yes,Yes,121,435,Returns,Yes,Yes,Borno,Kaga,Benisheikh,Preexisting structures (Partitioned),,25%-50%,25%-50%,25%-50%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Work in the fields,Lack of teachers,Largely insufficient number of teachers/Volunteers are available,Lack of documentation lack of facilities separated by sex,They are working fees or costs,Yes,Yes,107,519,IDPs,Yes,Yes,Borno,Kaga,Mainok,Accommodation by other families,,25%-50%,25%-50%,51%-75%,No,No,,Diarrhea,Yes,Yes,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fear of violence,Work in the fields,Largely insufficient number of teachers/Volunteers are available,They are working fees or costs,Lack of food at home and school lack of documentation,Yes,Yes,83,443,IDPs,Yes,Yes,Borno,Kaga,Mainok,Accommodation by other families,,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Fear of violence,Lack of parental/Care givers support,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of documentation,They are working lack of food at home and school,Yes,Yes,631,3190,Returns,Yes,Yes,Borno,Kaga,Mainok,Preexisting structures (Partitioned),,25%-50%,25%-50%,51%-75%,Yes,No,Self Organized,Diarrhea,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Fear of violence,Lack of parental/Care givers support,Fees or costs,Largely insufficient number of teachers/Volunteers are available,Lack of documentation lack of food at home and school,Lack of documentation lack of food at home and school,Yes,Yes,643,3222,Returns,Yes,Yes,Borno,Kaga,Mainok,Preexisting structures (Partitioned),,25%-50%,25%-50%,51%-75%,No,No,,Cough,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Fear of violence,Lack of parental/Care givers support,Fees or costs,Largely insufficient number of teachers/Volunteers are available,They are working fees or costs,They are working early marriage ,Yes,Yes,372,1862,IDPs,Yes,Yes,Borno,Kaga,Ngamdu,Accommodation by other families,,<25%,25%-50%,51%-75%,No,Yes,,Malaria,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Work in the fields,Fear of violence,Lack of teachers,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy lack of food at home and school,They are working lack of food at home and school,Yes,Yes,232,1145,IDPs,Yes,Yes,Borno,Kaga,Ngamdu,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Lack of parental/Care givers support,Fear of violence,Fees or costs,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage/pregnancy lack of food at home and school,Lack of food at home and school they are working,Yes,Yes,93,468,IDPs,Yes,Yes,Borno,Kaga,Ngamdu,Preexisting structures (Unpartitioned),,,<25%,>75%,No,No,,Malaria,Yes,No,No
Yes,On-site,<2km,25%-50%,Classrooms are crowded,No,Fees or costs,Fear of violence,Lack of school supplies,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Early marriage pregnancy lack of documentation,Lack of food at home and school they are working,Yes,Yes,303,1512,IDPs,Yes,Yes,Borno,Kaga,Ngamdu,Accommodation by other families,,<25%,25%-50%,51%-75%,No,No,,Malaria,Yes,No,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Fear of violence,Work in the fields,Fees or costs,Largely insufficient number of teachers/Volunteers are available,Lack of documentation,Early marriage ,Yes,Yes,1858,9303,Returns,Yes,Yes,Borno,Kaga,Ngamdu,Preexisting structures (Unpartitioned),,25%-50%,25%-50%,51%-75%,No,No,,Wound infection,Yes,Yes,No
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Lack of school supplies,Fear of violence,Lack of parental/Care givers support,Largely insufficient number of teachers/Volunteers are available,Early marriage pregnancy lack of documentation,Lack of documentation lack of food at home and school,Yes,Yes,1243,6231,Returns,Yes,Yes,Borno,Kaga,Ngamdu,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,Yes,No,Self Organized,Diarrhea,Yes,Yes,No
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Fear of violence,Distance to the school (too far),Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of documentation lack of food at home and school,Lack of documentation distance to school,Yes,Yes,940,4704,Returns,Yes,Yes,Borno,Kaga,Ngamdu,Preexisting structures (Partitioned),,<25%,25%-50%,25%-50%,Yes,No,Military,Cough,Yes,Yes,No
No,,,none,No enough learning space,No,Fear of violence,Lack of parental/Care givers support,Work at the house,Largely insufficient number of teachers/Volunteers are available,None girls,None boys,No,No,76,378,IDPs,Yes,Yes,Borno,Kaga,Wassaram,Accommodation by other families,,,25%-50%,51%-75%,No,Yes,,Malaria,No,No,No
No,,,none,No enough learning space,No,Violence/Risks at the school or to/from the school,Fear of violence,School is damaged or destroyed,Largely insufficient number of teachers/Volunteers are available,Other,Other,No,No,202,1015,Returns,Yes,Yes,Borno,Kaga,Wassaram,Preexisting structures (Partitioned),,,25%-50%,25%-50%,No,Yes,,Malaria,No,No,No
Yes,On-site,<1km,<25%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,They are working lack of food at home and school,Yes,Yes,1812,6470,IDPs,Yes,Yes,Borno,Kala/Balge,"Rann ""A""",Blocks/Bricks houses,,,<25%,,Yes,Yes,Military,Malaria,Yes,Yes,No
Yes,Off-site,<1km,<25%,Classrooms are crowded,Yes,Lack of school supplies,Work at the house,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are not crowded",They are working lack of food at home and school,Lack of food at home and school they are working,Yes,Yes,1088,4454,IDPs,Yes,Yes,Borno,Kala/Balge,"Rann ""A""",Makeshift shelter (Using Local Materials),,<25%,25%-50%,,Yes,Yes,Military,Malaria,Yes,Yes,No
Yes,Off-site,<1km,<25%,No enough learning space,Yes,Work at the house,Work in the fields,Lack of parental/Care givers support,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",Lack of food at home and school they are working,Lack of food at home and school they are working,Yes,Yes,4272,16569,IDPs,Yes,Yes,Borno,Kala/Balge,"Rann ""A""",Blocks/Bricks houses,,<25%,<25%,,Yes,Yes,Military,Malaria,Yes,Yes,No
Yes,On-site,<1km,<25%,No enough learning space,Yes,Lack of school supplies,Work in the fields,Lack of parental/Care givers support,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",Lack of food at home and school they are working,Lack of food at home and school they are working,Yes,Yes,3687,13110,IDPs,Yes,Yes,Borno,Kala/Balge,"Rann ""A""",Blocks/Bricks houses,,,,<25%,Yes,Yes,Military,Diarrhea,Yes,Yes,No
Yes,Off-site,<2km,<25%,Classrooms are crowded,No,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,Distance to school they are working,Yes,Yes,35,166,Returns,Yes,Yes,Borno,Konduga,Auno / Chabbol,Makeshift shelter (Using Local Materials),,,51%-75%,<25%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Lack of school supplies,Work in the fields,Work at the house,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,They are working lack of documentation,Yes,Yes,628,3182,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,,<25%,51%-75%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,Lack of documentation they are working,Yes,Yes,438,2361,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,,,>75%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<2km,<25%,Classrooms are crowded,Yes,Fees or costs,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,They are working fees or costs,Yes,Yes,157,838,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,<25%,<25%,51%-75%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,No,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,Lack of documentation they are working,Yes,Yes,486,2168,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,,25%-50%,51%-75%,Yes,No,Police,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of teachers,Lack of school supplies,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,Lack of documentation they are working,Yes,Yes,367,1861,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Unpartitioned),,,25%-50%,51%-75%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms not crowded,Yes,Work at the house,Lack of teachers,Work in the fields,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,They are working lack of documentation,Yes,Yes,85,535,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,,,>75%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working early marriage pregnancy,Lack of documentation they are working,Yes,Yes,99,577,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,,<25%,>75%,Yes,No,Military,Malaria,Yes,Yes,Yes
Yes,On-site,<1km,25%-50%,Classrooms are crowded,Yes,Lack of school supplies,Work in the fields,Work at the house,"Enough teachers/Volunteers are available, classrooms are a little bit/Sometimes crowded",They are working early marriage pregnancy,Lack of documentation they are working,Yes,Yes,787,3305,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Preexisting structures (Partitioned),,<25%,25%-50%,51%-75%,Yes,No,Police,Malaria,Yes,Yes,Yes
Yes,Off-site,<2km,25%-50%,Classrooms are crowded,No,Lack of school supplies,Work in the fields,Lack of teachers,"Not enough teachers/Volunteers are available, classrooms are quite/Often crowded",They are working early marriage pregnancy,Lack of documentation they are working,Yes,Yes,427,2149,IDPs,Yes,Yes,Borno,Konduga,Auno / Chabbol,Makeshift shelter (Using Local Materials),,25%-50%,25%-50%,<25%,Yes,No,Military,Malaria,Yes,Yes,Yes
